       4:7f -- 8e 08|7e -- 1c 09|-- -- -- --|30* -- -- --|-- -- -- --|-- 0f* -- --|
       4:3a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|7c -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|7b* -- -- --|80 -- ab 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:3f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       8:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:3e -- -- --|-- -- -- --|80 -- c4 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:3b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:37* -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:36 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:35 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:34 -- -- --|75 -- -- --|80 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:33 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|73 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7e -- -- --|bf* -- ab 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
      16:-- -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|7b* -- -- --|80 -- c4 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:3f* 88 96 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3e -- -- --|-- -- -- --|bf -- ab 09|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:3d* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3b -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:37* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:36 -- -- --|-- -- -- --|80 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:35 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3f 88 96 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7a -- -- --|bf* -- c4 09|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:3e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3d -- -- --|-- -- -- --|80 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3b -- -- --|-- -- -- --|-- -- ab 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:37 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:36 -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:35 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3f 88 7e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       8:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3e -- -- --|-- -- -- --|bf -- c4 09|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:3d* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:37* -- -- --|77* -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:36 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:35 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3f -- -- --|7e -- 52 09|bf* -- ab 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
      16:3e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3d -- -- --|7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3b -- -- --|7b -- -- --|-- -- 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3a -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      24:39 -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7b -- -- --|-- -- 67 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3a -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|73 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- 88 a9 08|73 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3f -- -- --|7e -- d5 08|bf* -- 52 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
      16:3e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:3d* -- -- --|7c -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3b -- -- --|7b -- -- --|-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|
       4:3a -- -- --|-- -- -- --|bf* -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      24:39 -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|-- -- -- --|bf* -- 2d 09|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:3a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:39 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7a -- -- --|bf -- 1c 09|-- -- -- --|-- -- -- --|-- 0f -- --|
      20:3a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- -- -- --|80 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
